provincia,tramo_edad,genero,personas_beneficiarias,edicion
Santa Fe,30 a 44 años,Masculino,4175,previaje 3
Santa Fe,45 a 59 años,Masculino,3142,previaje 3
Santa Fe,60 años y más,Masculino,4769,previaje 3
Santa Fe,30 a 44 años,X,7,previaje 3
Santa Fe,45 a 59 años,X,3,previaje 3
Santiago del Estero,18 a 29,Femenino,250,previaje 3
Santiago del Estero,30 a 44 años,Femenino,381,previaje 3
Santiago del Estero,45 a 59 años,Femenino,261,previaje 3
Santiago del Estero,60 años y más,Femenino,273,previaje 3
Santiago del Estero,18 a 29,Masculino,192,previaje 3
Santiago del Estero,30 a 44 años,Masculino,311,previaje 3
Santiago del Estero,45 a 59 años,Masculino,168,previaje 3
Santiago del Estero,60 años y más,Masculino,159,previaje 3
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",18 a 29,Femenino,397,previaje 3
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",30 a 44 años,Femenino,885,previaje 3
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",45 a 59 años,Femenino,533,previaje 3
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",60 años y más,Femenino,292,previaje 3
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",18 a 29,Masculino,223,previaje 3
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",30 a 44 años,Masculino,638,previaje 3
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",45 a 59 años,Masculino,427,previaje 3
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",60 años y más,Masculino,235,previaje 3
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",18 a 29,X,3,previaje 3
Tucumán,18 a 29,Femenino,1491,previaje 3
Tucumán,30 a 44 años,Femenino,2087,previaje 3
Tucumán,45 a 59 años,Femenino,1182,previaje 3
Tucumán,60 años y más,Femenino,1360,previaje 3
Tucumán,18 a 29,Masculino,941,previaje 3
Tucumán,30 a 44 años,Masculino,1658,previaje 3
Tucumán,45 a 59 años,Masculino,923,previaje 3
Tucumán,60 años y más,Masculino,650,previaje 3
Tucumán,18 a 29,X,4,previaje 3
